PREDICT,TRUE,ERROR
760,760,0
0,0,0
700,700,0
560,560,0
730,730,0
890,890,0
1230,1230,0
1240,1240,0
1070,1070,0
500,500,0
520,520,0
760,760,0
1219,1230,11
760,760,0
574,580,6
530,530,0
690,690,0
798,810,12
1230,1230,0
560,560,0
1230,1230,0
521,520,-1
1240,1240,0
532,530,-2
716,690,-26
690,690,0
859,870,11
744,760,16
780,780,0
635,620,-15
620,630,10
610,610,0
611,620,9
670,680,10
660,660,0
686,690,4
562,560,-2
530,530,0
1240,1240,0
430,430,0
883,870,-13
543,540,-3
1230,1230,0
967,1000,33
1240,1240,0
1230,1230,0
560,560,0
1060,1060,0
0,0,0
820,820,0
529,530,1
940,940,0
500,500,0
690,690,0
620,620,0
700,760,60
530,530,0
1030,1030,0
622,610,-12
873,870,-3
544,530,-14
850,850,0
1197,1240,43
430,430,0
530,530,0
1007,1000,-7
430,430,0
540,540,0
1030,1030,0
760,760,0
0,0,0
703,690,-13
1230,1230,0
700,700,0
808,810,2
930,930,0
657,630,-27
430,430,0
430,430,0
520,530,10
500,500,0
530,530,0
820,820,0
900,900,0
530,530,0
430,430,0
640,640,0
740,740,0
1030,1030,0
620,620,0
820,820,0
740,740,0
1230,1230,0
403,400,-3
1230,1230,0
910,910,0
550,550,0
680,680,0
1230,1230,0
610,610,0
630,630,0
660,660,0
607,610,3
530,530,0
760,760,0
940,940,0
856,870,14
580,580,0
430,430,0
740,740,0
430,430,0
530,530,0
930,930,0
760,760,0
517,530,13
612,580,-32
686,690,4
1230,1230,0
668,610,-58
628,630,2
900,900,0
979,1030,51
520,520,0
1230,1230,0
430,430,0
838,760,-78
832,870,38
1360,1360,0
680,680,0
654,670,16
690,690,0
520,520,0
540,540,0
430,430,0
883,870,-13
629,640,11
430,430,0
1230,1230,0
890,890,0
760,760,0
690,690,0
803,810,7
530,530,0
511,520,9
1180,1180,0
900,900,0
430,430,0
430,430,0
620,620,0
576,580,4
610,610,0
940,940,0
633,630,-3
430,430,0
597,590,-7
530,530,0
700,700,0
480,430,-50
660,660,0
530,530,0
810,810,0
544,530,-14
424,430,6
530,530,0
740,740,0
690,690,0
820,820,0
533,520,-13
430,430,0
740,740,0
1060,1060,0
780,780,0
375,520,145
620,620,0
740,740,0
622,620,-2
690,690,0
1180,1180,0
430,430,0
0,0,0
690,690,0
530,530,0
690,690,0
424,430,6
1360,1360,0
560,560,0
522,520,-2
610,610,0
729,810,81
883,900,17
820,820,0
671,670,-1
1240,1240,0
430,430,0
620,620,0
0,0,0
759,750,-9
850,900,50
590,590,0
1030,1030,0
520,530,10
574,530,-44
1230,1230,0
430,430,0
463,470,7
500,500,0
518,520,2
530,530,0
740,740,0
434,430,-4
1230,1230,0
400,400,0
580,580,0
630,630,0
1240,1240,0
1230,1230,0
430,430,0
500,500,0
795,810,15
740,740,0
900,900,0
480,480,0
480,480,0
1230,1230,0
657,670,13
940,940,0
590,590,0
760,760,0
560,560,0
1030,1030,0
